Ad
All Time
Account,Customer ID,Headline,Headline 1,Headline 2,Expanded Text Ad Headline 3,Short headline,Long headline,Responsive Search Ad headline 1,Responsive Search Ad headline 2,Responsive Search Ad headline 3,Responsive Search Ad headline 4,Responsive Search Ad headline 5,Responsive Search Ad headline 6,Responsive Search Ad headline 7,Responsive Search Ad headline 8,Responsive Search Ad headline 9,Responsive Search Ad headline 10,Responsive Search Ad headline 11,Responsive Search Ad headline 12,Responsive Search Ad headline 13,Responsive Search Ad headline 14,Responsive Search Ad headline 15,Responsive Search Ad description 1,Responsive Search Ad description 2,Responsive Search Ad description 3,Responsive Search Ad description 4,Description,Expanded Text Ad Description 2,Description line 1,Description line 2,Display URL,Ad,Path 1,Path 2,Business name,Campaign,Ad group,Campaign type,Campaign subtype,Ad final URL,Ad mobile final URL,Currency,Clicks,Impressions,CTR,Avg. CPC,Cost,Conversions,View-through conv.,Cost / conv.,Conv. rate
RingWraps,692-356-5030,,The Original RingWraps,An Aggie Tradition, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your A&M Class Ring, --,,,,, --, --, --,Branded Keywords - A&M,Ad Group #1,Search Only,All features,http://ring-wraps.com, --,USD,60,365,16.44%,0.92,54.91,1.00,0,54.91,1.67%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $150 Off,Use Code: valentine, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Val's Day is around the corner so if you want to give yourself or love one a gift,Take advantage of this $150 Off offer and receive it in time!,,,,, --, --, --,Branded Keywords - Houston,Branded Keyword,Search Only,All features,https://ringwraps.com/, --,USD,84,"2,608",3.22%,0.74,62.27,1.00,0,62.27,1.19%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $200 Off,Use Code: CHRISTMASISHERE, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your Class Ring,We're giving a limited time offer for $200 off any RingWraps! (Excludes Enhancers).,,,,, --, --, --,Branded Keywords - A&M (US),Ad Group #1,Search Only,All features,https://ringwraps.com/, --,USD,220,"1,095",20.09%,1.04,228.26,3.00,0,76.09,1.36%
RingWraps,692-356-5030,,RingWraps June Promo is Here,Most Anticipated Summer Event, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,10% off ALL RingWraps + 0% Financing for 10 Months. Click to Learn More, --,,,,, --, --, --,RW - June Campaign,RingWraps KW - Exact Match,Search Network with Display Select,All features,https://ringwraps.com/, --,USD,83,732,11.34%,0.76,62.94,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Created by Aggies for Aggies, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Looking for A&M Class Ring Wraps? Check out what everyone's been raving about!, --,,,,, --, --, --,Branded Keywords - A&M,Montelongo's,Search Only,All features,https://ringwraps.com/custom-work/, --,USD,48,888,5.41%,4.14,198.70,1.00,0,198.70,2.08%
RingWraps,692-356-5030,,The Original RingWraps,Gorgeous Diamond Enhancement, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,A Lifetime Gift for Yourself or a Loved One. See what people are raving about!, --,,,,, --, --, --,Branded Keywords - Houston,Branded Keyword,Search Only,All features,https://ringwraps.com/custom-work/, --,USD,723,"31,399",2.30%,0.61,442.91,5.00,0,88.58,0.69%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $150 Off,Use Code: valentine, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Val's Day is around the corner so if you want to give yourself or love one a gift,Take advantage of this $150 Off offer and receive it in time!,,,,, --, --, --,Branded Keywords - A&M (US),Aggie Ring Day,Search Only,All features,https://ringwraps.com/, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Created by Aggies for Aggies, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your A&M Class Ring, --,,,,, --, --, --,Branded Keywords - A&M (US),Ad Group #1,Search Only,All features,http://ringwraps.com, --,USD,597,"2,369",25.20%,1.19,707.61,4.00,0,176.90,0.67%
RingWraps,692-356-5030,,Asbestos Research Group,Asbestos Products in Your Home, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Alabama is affected by Asbestos Products more than anywhere else. Learn More., --,,,,,asbestos, --, --,Campaign #2,asbestos removal 1,Search Only,Standard,http://www.asbestosresearchgroup.com/index.php/asbestos-usage/, --,USD,3,138,2.17%,3.92,11.76,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $200 Off,Use Code: CHRISTMASISHERE, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your Class Ring,We're giving a limited time offer for $200 off any RingWraps! (Excludes Enhancers).,,,,, --, --, --,Branded Keywords - A&M,Montelongo's,Search Only,All features,https://ringwraps.com/, --,USD,18,161,11.18%,3.69,66.49,0.00,0,0.00,0.00%
